,LSTM_Future_Forecast
2023-10-17,359.47946
2023-10-18,352.64294
2023-10-19,348.78787
2023-10-20,342.84753
2023-10-23,349.69604
2023-10-24,348.7627
2023-10-25,341.18066
2023-10-26,335.9126
2023-10-27,328.58005
2023-10-30,334.89117
2023-10-31,331.4977
2023-11-01,319.07623
2023-11-02,309.29135
2023-11-03,296.07526
2023-11-06,295.952
2023-11-07,284.6483
2023-11-08,267.34314
2023-11-09,252.6377
2023-11-10,236.71439
2023-11-13,234.2078
2023-11-14,222.5113
2023-11-15,210.76257
2023-11-16,205.3346
2023-11-17,201.70702
2023-11-20,205.93172
2023-11-21,203.86264
2023-11-22,201.65005
2023-11-23,203.18823
2023-11-24,205.02791
2023-11-27,211.52937
